ticker,date,ret,ret_raw,rs,tier,is_vcp,dist
TSLA,2025-05-23,-8.0,2.14,87,C,False,-29.3
TSLA,2025-08-25,12.84,12.84,72,C,True,-27.8
TSLA,2025-09-24,-8.0,9.66,99,B,False,-7.7
ARM,2024-07-02,-8.0,-16.75,99,B,False,-6.1
ARM,2024-10-30,-8.0,0.81,99,C,False,-17.2
ARM,2025-02-03,-8.0,-21.65,85,C,False,-16.5
PLTR,2021-09-16,-8.0,-34.13,99,C,False,-26.6
PLTR,2023-06-20,-8.0,-4.05,99,C,False,-13.1
PLTR,2023-07-20,-8.0,0.41,99,B,False,-5.3
PLTR,2023-10-18,-8.0,-2.44,99,C,False,-14.0
PLTR,2023-11-16,-8.0,18.36,99,A,False,-1.1
PLTR,2023-12-18,-8.0,37.72,99,C,False,-16.4
PLTR,2024-02-20,-8.0,-7.61,99,B,False,-7.9
PLTR,2024-05-20,49.49,49.49,90,C,False,-18.3
PLTR,2024-06-20,44.09,44.09,84,B,False,-3.4
PLTR,2024-07-22,-8.0,50.98,92,A,False,-0.7
PLTR,2024-08-20,89.54,89.54,99,A,False,-0.6
PLTR,2024-09-19,94.16,94.16,99,A,False,0.0
PLTR,2024-10-18,78.89,78.89,99,A,False,-1.3
PLTR,2024-11-18,65.44,65.44,99,B,False,-6.9
PLTR,2024-12-18,-8.0,35.3,99,B,False,-6.3
PLTR,2025-02-21,-8.0,20.66,99,C,False,-18.7
PLTR,2025-03-24,-8.0,48.04,99,C,False,-22.4
PLTR,2025-04-23,53.6,53.6,99,C,False,-19.1
PLTR,2025-06-24,-8.0,27.45,99,A,False,0.0
PLTR,2025-08-22,-1.89,-1.89,99,C,False,-15.1
PLTR,2025-09-23,-8.0,6.26,99,A,False,-2.4
NFLX,2020-10-16,-8.0,-5.47,77,B,False,-4.6
NFLX,2023-06-21,-8.99,-8.99,99,C,False,-25.2
NFLX,2023-07-21,-8.0,-6.02,91,C,False,-10.5
