ticker,scan_date,entry_date,exit_date,hold_days,entry,exit,return_pct,spy_ret,alpha,rs,score,year
FTNT,2021-08-11,2021-08-12,2021-08-24,7,61.13,59.97,-1.9,0.46,-2.36,99,8,2021
FTNT,2021-08-11,2021-08-12,2021-09-14,21,61.13,60.12,-1.66,-0.39,-1.27,99,8,2021
FTNT,2021-08-11,2021-08-12,2021-11-11,63,61.13,67.38,10.21,4.34,5.88,99,8,2021
ZS,2021-08-11,2021-08-12,2021-08-24,7,242.94,257.97,6.19,0.46,5.73,85,8,2021
ZS,2021-08-11,2021-08-12,2021-09-14,21,242.94,275.8,13.53,-0.39,13.92,85,8,2021
ZS,2021-08-11,2021-08-12,2021-11-11,63,242.94,343.62,41.44,4.34,37.11,85,8,2021
NET,2021-08-11,2021-08-12,2021-08-24,7,122.23,124.02,1.46,0.46,1.0,99,8,2021
NET,2021-08-11,2021-08-12,2021-09-14,21,122.23,126.76,3.71,-0.39,4.1,99,8,2021
NET,2021-08-11,2021-08-12,2021-11-11,63,122.23,196.26,60.57,4.34,56.23,99,8,2021
ADBE,2021-08-11,2021-08-12,2021-08-24,7,634.35,657.24,3.61,0.46,3.15,87,8,2021
ADBE,2021-08-11,2021-08-12,2021-09-14,21,634.35,645.01,1.68,-0.39,2.07,87,8,2021
ADBE,2021-08-11,2021-08-12,2021-11-11,63,634.35,643.17,1.39,4.34,-2.95,87,8,2021
GS,2021-08-11,2021-08-12,2021-08-24,7,367.65,361.95,-1.55,0.46,-2.01,76,8,2021
GS,2021-08-11,2021-08-12,2021-09-14,21,367.65,359.37,-2.25,-0.39,-1.86,76,8,2021
GS,2021-08-11,2021-08-12,2021-11-11,63,367.65,358.17,-2.58,4.34,-6.92,76,8,2021
MS,2021-08-11,2021-08-12,2021-08-24,7,89.75,88.4,-1.51,0.46,-1.97,89,8,2021
MS,2021-08-11,2021-08-12,2021-09-14,21,89.75,87.39,-2.64,-0.39,-2.24,89,8,2021
MS,2021-08-11,2021-08-12,2021-11-11,63,89.75,85.38,-4.88,4.34,-9.21,89,8,2021
COST,2021-08-11,2021-08-12,2021-08-24,7,422.73,428.83,1.44,0.46,0.98,70,8,2021
COST,2021-08-11,2021-08-12,2021-09-14,21,422.73,435.11,2.93,-0.39,3.32,70,8,2021
COST,2021-08-11,2021-08-12,2021-11-11,63,422.73,486.94,15.19,4.34,10.85,70,8,2021
MELI,2021-08-11,2021-08-12,2021-08-24,7,1842.67,1855.29,0.68,0.46,0.23,79,7,2021
MELI,2021-08-11,2021-08-12,2021-09-14,21,1842.67,1856.34,0.74,-0.39,1.13,79,7,2021
MELI,2021-08-11,2021-08-12,2021-11-11,63,1842.67,1577.08,-14.41,4.34,-18.75,79,7,2021
SHOP,2021-08-11,2021-08-12,2021-08-24,7,150.32,153.85,2.35,0.46,1.89,72,8,2021
SHOP,2021-08-11,2021-08-12,2021-09-14,21,150.32,145.13,-3.45,-0.39,-3.06,72,8,2021
SHOP,2021-08-11,2021-08-12,2021-11-11,63,150.32,149.03,-0.86,4.34,-5.19,72,8,2021
CELH,2021-08-11,2021-08-12,2021-08-24,7,24.44,24.12,-1.31,0.46,-1.77,99,8,2021
CELH,2021-08-11,2021-08-12,2021-09-14,21,24.44,29.67,21.39,-0.39,21.78,99,8,2021
CELH,2021-08-11,2021-08-12,2021-11-11,63,24.44,32.57,33.27,4.34,28.93,99,8,2021
CVNA,2021-08-11,2021-08-12,2021-08-24,7,71.63,70.68,-1.33,0.46,-1.79,99,8,2021
CVNA,2021-08-11,2021-08-12,2021-09-14,21,71.63,65.81,-8.12,-0.39,-7.73,99,8,2021
CVNA,2021-08-11,2021-08-12,2021-11-11,63,71.63,57.26,-20.07,4.34,-24.4,99,8,2021
LLY,2021-08-11,2021-08-12,2021-08-24,7,252.14,251.47,-0.27,0.46,-0.73,95,8,2021
LLY,2021-08-11,2021-08-12,2021-09-14,21,252.14,223.07,-11.53,-0.39,-11.14,95,8,2021
LLY,2021-08-11,2021-08-12,2021-11-11,63,252.14,251.34,-0.32,4.34,-4.65,95,8,2021
ISRG,2021-08-11,2021-08-12,2021-08-24,7,333.33,348.9,4.67,0.46,4.21,74,8,2021
ISRG,2021-08-11,2021-08-12,2021-09-14,21,333.33,346.34,3.9,-0.39,4.29,74,8,2021
ISRG,2021-08-11,2021-08-12,2021-11-11,63,333.33,350.79,5.24,4.34,0.9,74,8,2021
DHR,2021-08-11,2021-08-12,2021-08-24,7,272.02,277.98,2.19,0.46,1.73,80,8,2021
DHR,2021-08-11,2021-08-12,2021-09-14,21,272.02,280.97,3.29,-0.39,3.68,80,8,2021
DHR,2021-08-11,2021-08-12,2021-11-11,63,272.02,264.2,-2.87,4.34,-7.21,80,8,2021
VRT,2021-08-11,2021-08-12,2021-08-24,7,27.34,27.39,0.22,0.46,-0.24,77,8,2021
VRT,2021-08-11,2021-08-12,2021-09-14,21,27.34,23.53,-13.91,-0.39,-13.52,77,8,2021
VRT,2021-08-11,2021-08-12,2021-11-11,63,27.34,26.58,-2.77,4.34,-7.1,77,8,2021
NVDA,2021-09-01,2021-09-02,2021-09-15,7,22.32,22.27,-0.25,-1.15,0.9,99,8,2021
NVDA,2021-09-01,2021-09-02,2021-10-05,21,22.32,20.38,-8.68,-4.1,-4.58,99,8,2021
NVDA,2021-09-01,2021-09-02,2021-12-03,63,22.32,30.6,37.06,0.4,36.67,99,8,2021
AAPL,2021-09-01,2021-09-02,2021-09-15,7,150.0,145.48,-3.01,-1.15,-1.86,73,8,2021
AAPL,2021-09-01,2021-09-02,2021-10-05,21,150.0,137.75,-8.16,-4.1,-4.06,73,8,2021
AAPL,2021-09-01,2021-09-02,2021-12-03,63,150.0,158.22,5.48,0.4,5.09,73,8,2021
MSFT,2021-09-01,2021-09-02,2021-09-15,7,289.57,293.09,1.22,-1.15,2.37,78,8,2021
MSFT,2021-09-01,2021-09-02,2021-10-05,21,289.57,277.65,-4.11,-4.1,-0.01,78,8,2021
MSFT,2021-09-01,2021-09-02,2021-12-03,63,289.57,311.15,7.46,0.4,7.06,78,8,2021
GOOGL,2021-09-01,2021-09-02,2021-09-15,7,142.03,143.16,0.8,-1.15,1.95,86,8,2021
GOOGL,2021-09-01,2021-09-02,2021-10-05,21,142.03,134.83,-5.07,-4.1,-0.97,86,8,2021
GOOGL,2021-09-01,2021-09-02,2021-12-03,63,142.03,140.75,-0.9,0.4,-1.29,86,8,2021
META,2021-09-01,2021-09-02,2021-09-15,7,372.36,371.01,-0.36,-1.15,0.79,82,8,2021
META,2021-09-01,2021-09-02,2021-10-05,21,372.36,330.37,-11.28,-4.1,-7.17,82,8,2021
META,2021-09-01,2021-09-02,2021-12-03,63,372.36,304.45,-18.24,0.4,-18.63,82,8,2021
AMD,2021-09-01,2021-09-02,2021-09-15,7,109.2,105.6,-3.3,-1.15,-2.15,99,7,2021
AMD,2021-09-01,2021-09-02,2021-10-05,21,109.2,101.81,-6.77,-4.1,-2.66,99,7,2021
