ticker,entry_date,exit_date,entry,exit,ret,regime,is_vcp,tier,exit_reason,pyramided,year
ABNB,2024-01-22,2024-06-21,142.00999450683594,149.57,5.32,BULL,True,B,time,1,2024
FRPT,2024-01-22,2024-06-21,87.4000015258789,130.46,49.27,BULL,True,A,time,2,2024
AMZN,2024-03-21,2024-08-21,178.14999389648438,180.11,1.1,BULL,True,A,time,0,2024
COIN,2024-04-22,2024-08-21,225.86000061035156,206.23,-8.69,BULL,False,C,stop,1,2024
LRCX,2024-05-21,2024-08-21,94.65336608886719,85.91,-9.24,BULL,True,A,stop,0,2024
SPOT,2024-04-22,2024-09-20,272.239990234375,365.17,34.14,BULL,False,C,time,2,2024
CLS,2024-04-22,2024-09-20,42.97999954223633,48.73,13.38,BULL,False,C,time,2,2024
UBER,2024-04-22,2024-09-20,68.9800033569336,73.94,7.19,BULL,False,C,time,0,2024
NVDA,2024-04-22,2024-09-20,79.38062286376953,115.82,45.9,BULL,False,C,time,2,2024
DDOG,2024-04-22,2024-09-20,122.06999969482422,114.76,-5.99,BULL,False,C,time,0,2024
ONTO,2024-04-22,2024-09-20,170.77000427246094,199.91,17.06,BULL,False,C,time,2,2024
AVGO,2024-04-22,2024-09-20,119.9948959350586,168.76,40.64,BULL,False,C,time,2,2024
NFLX,2024-05-21,2024-10-21,65.06099700927734,77.21,18.67,BULL,True,A,time,1,2024
COST,2024-05-21,2024-10-21,792.35009765625,878.52,10.88,BULL,True,A,time,1,2024
PLTR,2024-08-21,2025-01-23,32.540000915527344,78.98,142.72,BULL,False,A,time,2,2024
APP,2024-09-20,2025-02-24,126.08999633789062,410.45,225.52,BULL,False,A,time,2,2024
DUOL,2024-10-21,2025-02-24,288.05999755859375,389.9,35.35,BULL,True,A,time,2,2024
VRT,2024-10-21,2025-02-24,111.89034271240234,90.87,-18.79,BULL,True,A,time,2,2024
RKLB,2025-01-23,2025-02-24,31.56999969482422,22.49,-28.76,BULL,False,A,stop,0,2025
DUOL,2025-02-24,2025-03-25,389.8999938964844,340.5,-12.67,BULL,False,C,stop,0,2025
APP,2025-02-24,2025-03-25,410.45001220703125,346.29,-15.63,BULL,False,C,stop,0,2025
UPST,2025-02-24,2025-03-25,70.5,55.0,-21.99,BULL,False,C,stop,0,2025
CLS,2025-02-24,2025-03-25,110.87999725341797,97.37,-12.18,BULL,False,C,stop,0,2025
PLTR,2025-03-25,2025-08-25,96.5,157.17,62.87,NEUTRAL,False,C,time,2,2025
CVNA,2025-03-25,2025-08-25,44.332000732421875,72.42,63.37,NEUTRAL,False,C,time,2,2025
NFLX,2025-04-24,2025-09-24,109.68699645996094,120.39,9.76,BEAR,False,A,time,1,2025
HOOD,2025-04-24,2025-09-24,48.150001525878906,126.8,163.34,BEAR,False,C,time,2,2025
APP,2025-09-24,2025-10-23,641.9199829101562,589.7,-8.13,BULL,False,A,stop,0,2025
HOOD,2025-09-24,2025-11-21,126.80000305175781,107.3,-15.38,BULL,False,A,stop,0,2025
